,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-05-02,6666498,1042279767,157.35,157.35,156.0,156.15,-2.1,12625
1,2024-05-03,5935465,936184397,158.55,158.65,156.45,156.95,0.8,6876
2,2024-05-06,9032607,1441651437,159.0,160.15,159.0,159.2,2.25,12931
3,2024-05-07,6699483,1072604883,160.25,160.55,159.5,160.1,0.9,9146
4,2024-05-08,6345930,1017586029,160.0,160.8,159.65,160.7,0.6,7563
5,2024-05-09,5285856,850455689,160.75,161.25,160.4,160.5,-0.2,5952
6,2024-05-10,10192376,1644984436,161.25,162.1,160.55,161.65,1.15,11494
7,2024-05-13,9642900,1576521176,163.35,163.9,162.95,163.3,1.65,12460
8,2024-05-14,8291028,1358012114,163.2,164.45,162.7,164.4,1.1,9897
9,2024-05-15,15243403,2541851885,165.6,167.85,165.5,166.65,2.25,18162
10,2024-05-16,12586120,2119619590,168.95,169.75,167.1,167.45,0.8,12459
11,2024-05-17,5039743,842406145,167.55,167.7,166.7,167.25,-0.2,8291
12,2024-05-20,7278652,1212643672,167.25,167.4,165.3,167.2,-0.05,13023
13,2024-05-21,4588315,764313254,166.4,167.15,165.85,167.0,-0.2,6790
14,2024-05-22,6928097,1171910569,167.2,170.0,167.2,170.0,3.0,10448
15,2024-05-23,6656188,1137393249,170.3,171.45,170.0,171.3,1.3,11169
16,2024-05-24,3877932,660238032,169.3,170.8,169.3,170.6,-0.7,6487
17,2024-05-27,6149922,1062472354,171.75,173.4,171.75,172.95,2.35,12001
18,2024-05-28,5835433,1009317540,172.95,173.4,172.5,173.2,0.25,8245
19,2024-05-29,7402741,1268475158,172.45,172.5,170.55,170.85,-2.35,14406
20,2024-05-30,10376879,1745935737,168.0,169.0,167.7,167.9,-2.95,23558
21,2024-05-31,9114336,1525397907,168.25,168.9,166.0,166.0,-1.9,18205
22,2024-06-03,9475689,1600550183,168.65,169.75,167.3,169.55,3.55,12509
23,2024-06-04,8753452,1465081642,168.75,168.75,166.5,166.85,-2.7,18696
24,2024-06-05,4935163,827016285,167.4,168.8,166.15,168.45,1.6,11328
25,2024-06-06,18069198,3139162083,172.75,174.6,172.65,174.2,5.75,19789
26,2024-06-07,7113014,1229550638,173.3,173.4,172.4,172.85,-1.35,10518
27,2024-06-11,11261872,1954032447,173.15,174.25,172.9,173.3,0.45,12407
28,2024-06-12,7559000,1324123700,173.3,176.45,173.3,176.4,3.1,3694
